model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,fourier_features,scale
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1381.3158375690261,121.93974175035868,0.026186294853687286,0.32333850860595703,0.001,3,32,3,1,cuda,100,64,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8489727137717,121.93974175035868,0.02754557691514492,0.3640103340148926,0.001,3,32,3,1,cuda,100,64,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1886.492203187751,121.93974175035868,0.028937608003616333,0.32372188568115234,0.001,3,32,3,1,cuda,100,64,20
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,121.93974175035868,0.026963097974658012,0.32390761375427246,0.001,3,32,3,1,cuda,100,64,20
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.7892952016398,121.93974175035868,0.026328539475798607,0.3239271640777588,0.001,3,32,3,1,cuda,100,64,20
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.4188302689927,121.93974175035868,0.027274472638964653,0.3232128620147705,0.001,3,32,3,1,cuda,100,64,20
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1365.102821442018,181.04804733727812,0.023808561265468597,1.338240623474121,0.001,3,32,3,1,cuda,500,32,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1682.6209303359271,181.04804733727812,0.024622244760394096,1.391547441482544,0.001,3,32,3,1,cuda,500,32,10
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1327.547920850067,181.04804733727812,0.023861277848482132,1.328397512435913,0.001,3,32,3,1,cuda,500,32,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1142.1459078501507,181.04804733727812,0.021853184327483177,1.3310282230377197,0.001,3,32,3,1,cuda,500,32,10
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1088.9606603497323,181.04804733727812,0.021696118637919426,1.3655056953430176,0.001,3,32,3,1,cuda,500,32,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1599.292773960425,181.04804733727812,0.026787810027599335,1.331775426864624,0.001,3,32,3,1,cuda,500,32,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1809.9197166269244,181.04804733727812,0.028525691479444504,1.329784631729126,0.001,3,32,3,1,cuda,500,32,20
