model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,435.9469074213521,22.721758502896183,0.007910274900496006,6.193234443664551,0.001,3,128,3,1,cuda,1000,0.5,100,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,542.1773683274765,22.721758502896183,0.009278752841055393,6.338606834411621,0.001,3,128,3,1,cuda,1000,0.5,100,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,461.5750828836178,22.721758502896183,0.0085147051140666,6.247913360595703,0.001,3,128,3,1,cuda,1000,0.5,100,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,379.1795110128012,22.721758502896183,0.007627202197909355,6.176687717437744,0.001,3,128,3,1,cuda,1000,0.5,100,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,407.65581205028445,22.721758502896183,0.008179144002497196,6.210309267044067,0.001,3,128,3,1,cuda,1000,0.5,100,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6620.290628660475,22.721758502896183,0.10165893286466599,6.234489917755127,0.001,3,128,3,1,cuda,1000,0.5,100,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7563.853716951138,22.721758502896183,0.10856267809867859,6.288409948348999,0.001,3,128,3,1,cuda,1000,0.5,100,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,3415.3099677355253,22.721758502896183,0.061818428337574005,6.194125652313232,0.001,3,128,3,1,cuda,1000,0.5,100,False
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8874.299451713103,22.721758502896183,0.14697594940662384,6.2191245555877686,0.001,3,128,3,1,cuda,1000,0.5,100,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,4474.3285734082165,22.721758502896183,0.06808269768953323,6.215517520904541,0.001,3,128,3,1,cuda,1000,0.5,100,False
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,441.57571823753347,22.721758502896183,0.007919078692793846,6.112131834030151,0.001,3,128,3,1,cuda,1000,0.5,500,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,503.1729469963186,22.721758502896183,0.009126762859523296,6.193519115447998,0.001,3,128,3,1,cuda,1000,0.5,500,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,405.3318129287985,22.721758502896183,0.007893482223153114,6.118774890899658,0.001,3,128,3,1,cuda,1000,0.5,500,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,416.30786034764054,22.721758502896183,0.008331626653671265,6.088038921356201,0.001,3,128,3,1,cuda,1000,0.5,500,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,420.2441641566265,22.721758502896183,0.008297738619148731,6.114561319351196,0.001,3,128,3,1,cuda,1000,0.5,500,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7323.798279053715,22.721758502896183,0.1253201812505722,6.178375482559204,0.001,3,128,3,1,cuda,1000,0.5,500,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,9005.098411876674,22.721758502896183,0.15249589085578918,6.291822195053101,0.001,3,128,3,1,cuda,1000,0.5,500,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,5952.224604145749,22.721758502896183,0.09850091487169266,6.1013343334198,0.001,3,128,3,1,cuda,1000,0.5,500,False
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,4263.6686760061075,22.721758502896183,0.05853193253278732,6.099429130554199,0.001,3,128,3,1,cuda,1000,0.5,500,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7680.023399587935,22.721758502896183,0.1369582712650299,6.219212770462036,0.001,3,128,3,1,cuda,1000,0.5,500,False
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,456.89424102660644,22.721758502896183,0.00828877929598093,6.21058464050293,0.001,3,128,3,1,cuda,1000,0.5,1000,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,554.969632435994,22.721758502896183,0.009198303334414959,6.157506227493286,0.001,3,128,3,1,cuda,1000,0.5,1000,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,436.37089111654956,22.721758502896183,0.00824123714119196,6.073439359664917,0.001,3,128,3,1,cuda,1000,0.5,1000,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,402.09530570197455,22.721758502896183,0.008113760501146317,6.106794595718384,0.001,3,128,3,1,cuda,1000,0.5,1000,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,418.29919155789827,22.721758502896183,0.008444849401712418,6.106064319610596,0.001,3,128,3,1,cuda,1000,0.5,1000,True
