model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_percent,outermost_linear,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1432.853524776188,3.8504960811851583,0.0045880354009568,65.95155191421509,0.001,256,4,500,0.5,True,28.63549752391242
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1775.1151258680557,3.8504960811851583,0.0050094327889382,47.88681650161743,0.001,256,4,500,0.5,True,27.7052502410395
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1421.125898123745,3.8504960811851583,0.0051558995619416,47.05090641975403,0.001,256,4,500,0.5,True,28.67118994809761
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1356.8857186558737,3.8504960811851583,0.0042078918777406,57.063807249069214,0.001,256,4,500,0.5,True,28.87208277265904
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1448.4401603811075,3.8504960811851583,0.0039793415926396,57.88805961608887,0.001,256,4,500,0.5,True,28.58850990927758
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1494.135648060994,3.8504960811851583,0.0038019851781427,112.63075613975523,0.001,256,4,1000,0.5,True,28.45361521214012
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1687.1353173109103,3.8504960811851583,0.0049672685563564,93.17518162727356,0.001,256,4,1000,0.5,True,27.92601632031768
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1402.1878804279618,3.8504960811851583,0.0036335850600153,107.20369267463684,0.001,256,4,1000,0.5,True,28.729453397253558
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1410.8203700217537,3.8504960811851583,0.0038721428718417,93.051495552063,0.001,256,4,1000,0.5,True,28.702798271987866
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.5081654743976,3.8504960811851583,0.0039218836463987,91.65124464035034,0.001,256,4,1000,0.5,True,28.762657896169216
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1487.0529644620146,3.8504960811851583,0.0034619965590536,154.0282757282257,0.001,256,4,2000,0.5,True,28.47425111674894
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1782.0927211449966,3.8504960811851583,0.0050327349454164,198.7080807685852,0.001,256,4,2000,0.5,True,27.688212524141335
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1403.5540952873996,3.8504960811851583,0.0037447393406182,197.0325508117676,0.001,256,4,2000,0.5,True,28.725223930491623
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1368.7259990482764,3.8504960811851583,0.003237560391426,192.6348476409912,0.001,256,4,2000,0.5,True,28.834350319781713
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1395.0442982868976,3.8504960811851583,0.0051832739263772,211.1394202709198,0.001,256,4,2000,0.5,True,28.751635503358933
