model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,fourier_features,scale,original_psnr
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1617.5403946515228,181.0480473372781,0.0270194988697767,0.2700252532958984,0.001,32,3,100,32,10,28.108964137044346
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,181.0480473372781,0.0300148725509643,0.2689907550811767,0.001,32,3,100,32,10,27.39395688165706
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,181.0480473372781,0.0267763864248991,0.2776374816894531,0.001,32,3,100,32,10,28.355174592972276
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.9563292231426,181.0480473372781,0.0267625395208597,0.2706444263458252,0.001,32,3,100,32,10,28.638217753948425
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1390.9247589315596,181.0480473372781,0.0266988817602396,0.3145225048065185,0.001,32,3,100,32,10,28.764479109854197
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,181.0480473372781,0.0279294215142726,0.2713792324066162,0.001,32,3,100,32,20,28.092026811291618
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,181.0480473372781,0.0303110983222723,0.2704067230224609,0.001,32,3,100,32,20,27.39395688165706
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,181.0480473372781,0.027236258611083,0.2691507339477539,0.001,32,3,100,32,20,28.355174592972276
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,181.0480473372781,0.0270429756492376,0.2770864963531494,0.001,32,3,100,32,20,28.63819676769929
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,181.0480473372781,0.0275451429188251,0.2682394981384277,0.001,32,3,100,32,20,28.762149161719424
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1469.6152003848729,121.93974175035868,0.0245872717350721,0.3255164623260498,0.001,32,3,100,64,10,28.525479134925188
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1687.873775048109,121.93974175035868,0.0263115018606185,0.3551461696624756,0.001,32,3,100,64,10,27.924115832842084
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.3825601886713,121.93974175035868,0.0263968799263238,0.3828341960906982,0.001,32,3,100,64,10,28.35519475297066
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,121.93974175035868,0.0266409236937761,0.3280775547027588,0.001,32,3,100,64,10,28.63819676769929
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1381.315837569026,121.93974175035868,0.0261862948536872,0.323338508605957,0.001,32,3,100,64,10,28.79458557494278
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8489727137717,121.93974175035868,0.0275455769151449,0.3640103340148926,0.001,32,3,100,64,20,28.09205913866287
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1886.492203187751,121.93974175035868,0.0289376080036163,0.3237218856811523,0.001,32,3,100,64,20,27.44096534151641
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,121.93974175035868,0.026963097974658,0.3239076137542724,0.001,32,3,100,64,20,28.355174592972276
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.7892952016398,121.93974175035868,0.0263285394757986,0.3239271640777588,0.001,32,3,100,64,20,28.638724376836244
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.418830268993,121.93974175035868,0.0272744726389646,0.3232128620147705,0.001,32,3,100,64,20,28.762936723366764
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1365.102821442018,181.0480473372781,0.0238085612654685,1.338240623474121,0.001,32,3,500,32,10,28.845861844942583
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1682.6209303359271,181.0480473372781,0.024622244760394,1.391547441482544,0.001,32,3,500,32,10,27.93765261909558
